Model,Quantization,Prompt,Compute,Tin_avg,Tout_avg,Ttotal_avg,Time_avg,Accuracy_pct
deepseek-coder:6.7b-instruct,fp16,complete_prompt_text,Local,239.0,194.0,433.0,54.930370760010554,100.0
deepseek-coder:6.7b-instruct,fp16,concise_prompt_text,Local,184.0,120.0,304.0,38.249123859917745,0.0
deepseek-coder:6.7b-instruct,fp16,ultra_concise_prompt_text,Local,139.0,142.0,281.0,43.04074781998061,100.0
deepseek-coder:6.7b-instruct,q4_0,complete_prompt_text,Local,239.0,181.0,420.0,3.772383539984003,100.0
deepseek-coder:6.7b-instruct,q4_0,concise_prompt_text,Local,184.0,159.0,343.0,3.5413360599894075,100.0
deepseek-coder:6.7b-instruct,q4_0,ultra_concise_prompt_text,Local,139.0,84.0,223.0,2.7479451400227846,0.0
deepseek-coder:6.7b-instruct,q8_0,complete_prompt_text,Local,239.0,183.0,422.0,12.397052319953218,100.0
deepseek-coder:6.7b-instruct,q8_0,concise_prompt_text,Local,184.0,153.0,337.0,10.889661400020122,100.0
deepseek-coder:6.7b-instruct,q8_0,ultra_concise_prompt_text,Local,139.0,142.0,281.0,10.142994700046255,100.0
llama3.1:8b-instruct,fp16,complete_prompt_text,Local,212.0,131.0,343.0,42.355508679989725,100.0
llama3.1:8b-instruct,fp16,concise_prompt_text,Local,159.0,146.0,305.0,45.72288238001056,100.0
llama3.1:8b-instruct,fp16,ultra_concise_prompt_text,Local,121.0,124.0,245.0,40.94402491995133,100.0
llama3.1:8b-instruct,q4_0,complete_prompt_text,Local,212.0,186.0,398.0,4.864499920001253,100.0
llama3.1:8b-instruct,q4_0,concise_prompt_text,Local,159.0,209.0,368.0,4.99537361995317,100.0
llama3.1:8b-instruct,q4_0,ultra_concise_prompt_text,Local,121.0,143.0,264.0,4.383112660003826,100.0
llama3.1:8b-instruct,q8_0,complete_prompt_text,Local,212.0,182.0,394.0,7.32363268006593,100.0
llama3.1:8b-instruct,q8_0,concise_prompt_text,Local,159.0,155.0,314.0,6.826248580031097,100.0
llama3.1:8b-instruct,q8_0,ultra_concise_prompt_text,Local,121.0,124.0,245.0,6.385106320027262,100.0
mistral:7b-instruct-v0.3,fp16,complete_prompt_text,Local,239.0,144.0,383.0,37.74398434003815,100.0
mistral:7b-instruct-v0.3,fp16,concise_prompt_text,Local,182.0,169.0,351.0,44.686188879981636,100.0
mistral:7b-instruct-v0.3,fp16,ultra_concise_prompt_text,Local,137.0,181.0,318.0,46.81309671998024,100.0
mistral:7b-instruct-v0.3,q4_0,complete_prompt_text,Local,239.0,167.0,406.0,3.6911391200032084,100.0
mistral:7b-instruct-v0.3,q4_0,concise_prompt_text,Local,182.0,120.0,302.0,3.123674080008641,100.0
mistral:7b-instruct-v0.3,q4_0,ultra_concise_prompt_text,Local,137.0,133.0,270.0,3.250038000009954,100.0
mistral:7b-instruct-v0.3,q8_0,complete_prompt_text,Local,239.0,169.0,408.0,5.975184560008347,100.0
mistral:7b-instruct-v0.3,q8_0,concise_prompt_text,Local,182.0,173.0,355.0,6.061823100037873,100.0
mistral:7b-instruct-v0.3,q8_0,ultra_concise_prompt_text,Local,137.0,167.0,304.0,5.970416079973802,100.0
